"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Windsor County, VT"	"50027"	13	55100	Unreliable	Unreliable
	"Arlington County, VA"	"51013"	19	234965	Unreliable	Unreliable
	"Augusta County, VA"	"51015"	14	75144	Unreliable	Unreliable
	"Bedford County, VA"	"51019"	17	77974	Unreliable	Unreliable
	"Chesterfield County, VA"	"51041"	73	343599	21.2	22.1
	"Culpeper County, VA"	"51047"	24	51282	46.8	50.9
	"Fairfax County, VA"	"51059"	120	1148433	10.4	10.6
	"Fauquier County, VA"	"51061"	18	69465	Unreliable	Unreliable
	"Frederick County, VA"	"51069"	17	86484	Unreliable	Unreliable
	"Hanover County, VA"	"51085"	24	105923	22.7	26.6
	"Henrico County, VA"	"51087"	67	327898	20.4	20.5
	"Henry County, VA"	"51089"	13	51227	Unreliable	Unreliable
	"James City County, VA"	"51095"	11	75524	Unreliable	Unreliable
	"King George County, VA"	"51099"	11	26337	Unreliable	Unreliable
	"Loudoun County, VA"	"51107"	30	398080	7.5	8.0
	"Montgomery County, VA"	"51121"	12	98559	Unreliable	Unreliable
	"Prince George County, VA"	"51149"	10	37809	Unreliable	Unreliable
	"Prince William County, VA"	"51153"	68	463023	14.7	14.4
	"Pulaski County, VA"	"51155"	11	34184	Unreliable	Unreliable
	"Roanoke County, VA"	"51161"	24	93730	25.6	28.9
	"Shenandoah County, VA"	"51171"	10	43225	Unreliable	Unreliable
	"Spotsylvania County, VA"	"51177"	22	133033	16.5	17.1
	"Stafford County, VA"	"51179"	19	146649	Unreliable	Unreliable
	"Tazewell County, VA"	"51185"	11	41095	Unreliable	Unreliable
	"Warren County, VA"	"51187"	17	39563	Unreliable	Unreliable
	"Washington County, VA"	"51191"	12	54387	Unreliable	Unreliable
	"Wise County, VA"	"51195"	20	38586	51.8	52.8
	"Alexandria city, VA"	"51510"	15	160035	Unreliable	Unreliable
	"Chesapeake city, VA"	"51550"	48	240397	20.0	19.1
	"Hampton city, VA"	"51650"	20	134669	14.9	14.6
	"Hopewell city, VA"	"51670"	11	22621	Unreliable	Unreliable
	"Lynchburg city, VA"	"51680"	10	80995	Unreliable	Unreliable
	"Newport News city, VA"	"51700"	30	179388	16.7	17.7
	"Norfolk city, VA"	"51710"	61	244703	24.9	26.7
	"Petersburg city, VA"	"51730"	15	31750	Unreliable	Unreliable
	"Portsmouth city, VA"	"51740"	26	94572	27.5	28.3
	"Richmond city, VA"	"51760"	80	227032	35.2	35.8
	"Roanoke city, VA"	"51770"	49	99837	49.1	50.6
	"Suffolk city, VA"	"51800"	10	90237	Unreliable	Unreliable
	"Virginia Beach city, VA"	"51810"	76	450435	16.9	16.7
	"Benton County, WA"	"53005"	31	198171	15.6	15.7
	"Clallam County, WA"	"53009"	17	75474	Unreliable	Unreliable
	"Clark County, WA"	"53011"	80	474643	16.9	16.8
	"Cowlitz County, WA"	"53015"	23	106910	21.5	22.8
	"Grant County, WA"	"53025"	14	95158	Unreliable	Unreliable
	"Grays Harbor County, WA"	"53027"	18	72697	Unreliable	Unreliable
	"Island County, WA"	"53029"	14	83159	Unreliable	Unreliable
	"King County, WA"	"53033"	335	2188649	15.3	14.3
	"Kitsap County, WA"	"53035"	32	266414	12.0	10.1
	"Lewis County, WA"	"53041"	11	78200	Unreliable	Unreliable
	"Mason County, WA"	"53045"	10	63710	Unreliable	Unreliable
	"Pierce County, WA"	"53053"	161	876764	18.4	17.7
	"Skagit County, WA"	"53057"	20	125619	15.9	16.0
	"Snohomish County, WA"	"53061"	134	801633	16.7	15.6
	"Spokane County, WA"	"53063"	81	506152	16.0	15.8
	"Thurston County, WA"	"53067"	34	280588	12.1	11.2
	"Walla Walla County, WA"	"53071"	17	60567	Unreliable	Unreliable
	"Whatcom County, WA"	"53073"	24	221404	10.8	10.5
	"Yakima County, WA"	"53077"	39	250193	15.6	16.9
	"Berkeley County, WV"	"54003"	91	114920	79.2	80.2
	"Boone County, WV"	"54005"	13	22349	Unreliable	Unreliable
	"Cabell County, WV"	"54011"	145	94958	152.7	170.7
	"Fayette County, WV"	"54019"	31	43521	71.2	73.2
	"Hampshire County, WV"	"54027"	11	23471	Unreliable	Unreliable
	"Hancock County, WV"	"54029"	16	29448	Unreliable	Unreliable
	"Harrison County, WV"	"54033"	20	67811	29.5	32.9
	"Jefferson County, WV"	"54037"	23	56338	40.8	41.6
	"Kanawha County, WV"	"54039"	127	183293	69.3	73.4
	"Lincoln County, WV"	"54043"	17	20825	Unreliable	Unreliable
	"Logan County, WV"	"54045"	34	32925	103.3	101.0
	"McDowell County, WV"	"54047"	10	18456	Unreliable	Unreliable
	"Marion County, WV"	"54049"	10	56337	Unreliable	Unreliable
	"Mason County, WV"	"54053"	17	26801	Unreliable	Unreliable
	"Mercer County, WV"	"54055"	34	59753	56.9	62.3
	"Mingo County, WV"	"54059"	16	24127	Unreliable	Unreliable
	"Monongalia County, WV"	"54061"	31	105030	29.5	30.8
	"Morgan County, WV"	"54065"	14	17686	Unreliable	Unreliable
	"Ohio County, WV"	"54069"	19	42035	Unreliable	Unreliable
	"Putnam County, WV"	"54079"	34	56792	59.9	64.8
	"Raleigh County, WV"	"54081"	57	75022	76.0	79.6
	"Wayne County, WV"	"54099"	51	40153	127.0	141.1
	"Wood County, WV"	"54107"	20	85104	23.5	26.2
	"Wyoming County, WV"	"54109"	13	21210	Unreliable	Unreliable
	"Brown County, WI"	"55009"	41	262052	15.6	15.7
	"Chippewa County, WI"	"55017"	12	63813	Unreliable	Unreliable
	"Columbia County, WI"	"55021"	12	57248	Unreliable	Unreliable
	"Dane County, WI"	"55025"	109	536416	20.3	19.4
	"Dodge County, WI"	"55027"	22	87786	25.1	27.5
	"Jefferson County, WI"	"55055"	22	84832	25.9	28.6
	"Kenosha County, WI"	"55059"	52	168521	30.9	30.9
	"La Crosse County, WI"	"55063"	27	118274	22.8	22.2
	"Manitowoc County, WI"	"55071"	11	79175	Unreliable	Unreliable
	"Marathon County, WI"	"55073"	18	135732	Unreliable	Unreliable
	"Milwaukee County, WI"	"55079"	355	952085	37.3	37.6
	"Outagamie County, WI"	"55087"	21	186059	11.3	11.7
	"Ozaukee County, WI"	"55089"	13	88429	Unreliable	Unreliable
	"Racine County, WI"	"55101"	52	196071	26.5	29.1
	"Rock County, WI"	"55105"	48	162309	29.6	32.8
	"Sheboygan County, WI"	"55117"	21	115344	18.2	19.4
	"Walworth County, WI"	"55127"	18	103082	Unreliable	Unreliable
	"Washington County, WI"	"55131"	22	135101	16.3	17.5
	"Waukesha County, WI"	"55133"	76	400621	19.0	21.4
	"Winnebago County, WI"	"55139"	34	170414	20.0	21.7
	"Laramie County, WY"	"56021"	14	98327	Unreliable	Unreliable
	"Natrona County, WY"	"56025"	10	79547	Unreliable	Unreliable
"Total"			70237	325719178	21.6	21.7
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"UCD - Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide"
"(X60-X64); Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"Year/Month: 2017"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 6, 2019 11:02:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Oct 6, 2019 11:02:23 PM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Data are not available for this area for all of the requested years. See Caveats below for more information."
"---"
Caveats:
"1. Data for Prince of Wales-Outer Ketchikan Census Area, AK (FIPS code 02201), Skagway-Hoonah-Angoon Census Area, AK (FIPS code"
"02232) and Wrangell-Petersburg Census Area, AK (FIPS code 02280) are only available for 2013 and earlier; for computational"
"purposes, counts and population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year"
"requests for this entity do not include any data for years after 2013, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Alaska2014."
"2. Data for Bedford city, Va. (FIPS code 51515) are only available for 2013 and earlier; for computational purposes, counts and"
"population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years after 2014, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Bedford."
"3. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death"
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code"
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;"
"for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Clifton Forge."
"4. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510)."
"5. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code"
"24005)."
"6. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189)."
"7. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"8. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"9. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"10. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"11. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"12. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"13. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
