"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Bradford County, PA"	"42015"	21	60853	34.5
	"Bucks County, PA"	"42017"	291	628341	46.3
	"Butler County, PA"	"42019"	96	187108	51.3
	"Cambria County, PA"	"42021"	84	133054	63.1
	"Carbon County, PA"	"42025"	29	63853	45.4
	"Centre County, PA"	"42027"	19	162660	Unreliable
	"Chester County, PA"	"42029"	171	519293	32.9
	"Clearfield County, PA"	"42033"	11	79685	Unreliable
	"Columbia County, PA"	"42037"	19	65932	Unreliable
	"Crawford County, PA"	"42039"	21	86159	24.4
	"Cumberland County, PA"	"42041"	85	250066	34.0
	"Dauphin County, PA"	"42043"	91	275710	33.0
	"Delaware County, PA"	"42045"	282	564696	49.9
	"Elk County, PA"	"42047"	11	30197	Unreliable
	"Erie County, PA"	"42049"	115	274541	41.9
	"Fayette County, PA"	"42051"	87	131504	66.2
	"Franklin County, PA"	"42055"	29	154234	18.8
	"Huntingdon County, PA"	"42061"	14	45491	Unreliable
	"Indiana County, PA"	"42063"	42	84953	49.4
	"Jefferson County, PA"	"42065"	10	43804	Unreliable
	"Lackawanna County, PA"	"42069"	88	210761	41.8
	"Lancaster County, PA"	"42071"	176	542903	32.4
	"Lawrence County, PA"	"42073"	57	87069	65.5
	"Lebanon County, PA"	"42075"	22	139754	15.7
	"Lehigh County, PA"	"42077"	121	366494	33.0
	"Luzerne County, PA"	"42079"	156	317343	49.2
	"Lycoming County, PA"	"42081"	33	113841	29.0
	"Mercer County, PA"	"42085"	43	111750	38.5
	"Mifflin County, PA"	"42087"	13	46388	Unreliable
	"Monroe County, PA"	"42089"	37	168046	22.0
	"Montgomery County, PA"	"42091"	218	826075	26.4
	"Northampton County, PA"	"42095"	126	303405	41.5
	"Northumberland County, PA"	"42097"	31	92029	33.7
	"Perry County, PA"	"42099"	20	46127	43.4
	"Philadelphia County, PA"	"42101"	1058	1580863	66.9
	"Pike County, PA"	"42103"	24	55691	43.1
	"Schuylkill County, PA"	"42107"	36	142569	25.3
	"Somerset County, PA"	"42111"	34	74501	45.6
	"Susquehanna County, PA"	"42115"	11	40985	Unreliable
	"Tioga County, PA"	"42117"	13	40793	Unreliable
	"Venango County, PA"	"42121"	10	51762	Unreliable
	"Washington County, PA"	"42125"	112	207298	54.0
	"Wayne County, PA"	"42127"	17	51205	Unreliable
	"Westmoreland County, PA"	"42129"	209	352627	59.3
	"Wyoming County, PA"	"42131"	13	27322	Unreliable
	"York County, PA"	"42133"	142	446078	31.8
	"Bristol County, RI"	"44001"	10	48912	Unreliable
	"Kent County, RI"	"44003"	44	163760	26.9
	"Newport County, RI"	"44005"	29	83460	34.7
	"Providence County, RI"	"44007"	213	637357	33.4
	"Washington County, RI"	"44009"	26	126150	20.6
	"Aiken County, SC"	"45003"	47	168179	27.9
	"Anderson County, SC"	"45007"	40	198759	20.1
	"Beaufort County, SC"	"45013"	31	186844	16.6
	"Berkeley County, SC"	"45015"	43	217937	19.7
	"Charleston County, SC"	"45019"	88	401438	21.9
	"Colleton County, SC"	"45029"	11	37611	Unreliable
	"Darlington County, SC"	"45031"	11	67265	Unreliable
	"Dorchester County, SC"	"45035"	30	156456	19.2
	"Florence County, SC"	"45041"	33	138566	23.8
	"Georgetown County, SC"	"45043"	19	61607	Unreliable
	"Greenville County, SC"	"45045"	111	506837	21.9
	"Greenwood County, SC"	"45047"	15	70355	Unreliable
	"Horry County, SC"	"45051"	92	333268	27.6
	"Kershaw County, SC"	"45055"	13	65036	Unreliable
	"Lancaster County, SC"	"45057"	27	92550	29.2
	"Laurens County, SC"	"45059"	15	66848	Unreliable
	"Lexington County, SC"	"45063"	52	290642	17.9
	"Oconee County, SC"	"45073"	22	77270	28.5
	"Pickens County, SC"	"45077"	31	123479	25.1
	"Richland County, SC"	"45079"	86	411592	20.9
	"Spartanburg County, SC"	"45083"	79	306854	25.7
	"Sumter County, SC"	"45085"	11	106847	Unreliable
	"York County, SC"	"45091"	62	266439	23.3
	"Minnehaha County, SD"	"46099"	19	188616	Unreliable
	"Pennington County, SD"	"46103"	10	110141	Unreliable
	"Anderson County, TN"	"47001"	50	76257	65.6
	"Blount County, TN"	"47009"	61	129929	46.9
	"Bradley County, TN"	"47011"	33	105560	31.3
	"Campbell County, TN"	"47013"	16	39648	Unreliable
	"Carter County, TN"	"47019"	23	56488	40.7
	"Cheatham County, TN"	"47021"	26	40330	64.5
	"Cocke County, TN"	"47029"	17	35556	Unreliable
	"Coffee County, TN"	"47031"	18	55034	Unreliable
	"Cumberland County, TN"	"47035"	16	59078	Unreliable
	"Davidson County, TN"	"47037"	242	691243	35.0
	"Dickson County, TN"	"47043"	11	52853	Unreliable
	"Greene County, TN"	"47059"	23	68808	33.4
	"Hamblen County, TN"	"47063"	19	64277	Unreliable
	"Hamilton County, TN"	"47065"	88	361613	24.3
	"Jefferson County, TN"	"47089"	11	53804	Unreliable
	"Knox County, TN"	"47093"	259	461860	56.1
	"Lawrence County, TN"	"47099"	12	43396	Unreliable
	"Loudon County, TN"	"47105"	22	52152	42.2
	"McMinn County, TN"	"47107"	16	52877	Unreliable
	"Madison County, TN"	"47113"	19	97643	Unreliable
	"Maury County, TN"	"47119"	17	92163	Unreliable
	"Monroe County, TN"	"47123"	10	46240	Unreliable
	"Montgomery County, TN"	"47125"	38	200182	19.0
	"Putnam County, TN"	"47141"	14	77674	Unreliable
	"Roane County, TN"	"47145"	23	53036	43.4
	"Robertson County, TN"	"47147"	17	70177	Unreliable
	"Rutherford County, TN"	"47149"	65	317157	20.5
	"Sevier County, TN"	"47155"	36	97638	36.9
	"Shelby County, TN"	"47157"	211	936961	22.5
	"Sullivan County, TN"	"47163"	49	157158	31.2
	"Sumner County, TN"	"47165"	41	183545	22.3
	"Tipton County, TN"	"47167"	16	61366	Unreliable
	"Unicoi County, TN"	"47171"	10	17759	Unreliable
	"Union County, TN"	"47173"	14	19442	Unreliable
	"Washington County, TN"	"47179"	36	127806	28.2
	"Williamson County, TN"	"47187"	30	226257	13.3
	"Wilson County, TN"	"47189"	36	136442	26.4
	"Anderson County, TX"	"48001"	10	57741	Unreliable
	"Angelina County, TX"	"48005"	11	87805	Unreliable
	"Bell County, TX"	"48027"	43	347833	12.4
	"Bexar County, TX"	"48029"	220	1958578	11.2
	"Bowie County, TX"	"48037"	13	94012	Unreliable
